"","artist","track","target","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"35","Major Lazer","Boom (feat. MOTi, Ty Dolla $ign, Wizkid & Kranium)","dislike",0.704,0.784,"7",-4.463,"0",0.142,0.00283,0,0.419,0.656,100.083,186448
"36","Nina Sky","Move Ya Body","dislike",0.87,0.712,"11",-6.313,"0",0.0432,0.0202,0.000331,0.0576,0.877,121.057,232000
"37","will.i.am","It’s My Birthday","dislike",0.76,0.718,"5",-4.443,"0",0.0476,0.0817,0,0.0903,0.419,100.01,252613
"38","Fergie","Glamorous","dislike",0.815,0.756,"0",-6.41,"1",0.221,0.292,0,0.074,0.575,130.97,246587
"39","Sean Paul","Baby Boy (feat. Beyoncé )","dislike",0.658,0.621,"1",-5.725,"1",0.231,0.0667,2.46e-06,0.142,0.817,91.267,246707
"40","B2K","Bump, Bump, Bump","dislike",0.833,0.681,"1",-6.028,"0",0.215,0.0956,0,0.0414,0.887,95.48,282533
"41","Nelly","Hot In Herre","dislike",0.955,0.728,"9",-4.862,"0",0.122,0.219,0,0.0612,0.922,107.082,228227
"42","50 Cent","Candy Shop","dislike",0.613,0.577,"11",-8.01,"1",0.458,0.0234,5.77e-05,0.381,0.745,127.926,208533
"43","Ginuwine","Pony - Single Version","dislike",0.77,0.61,"11",-8.647,"1",0.0889,0.00281,0.0984,0.0435,0.967,142.916,241920
"44","Timbaland","The Way I Are","dislike",0.73,0.807,"3",-6.475,"0",0.114,0.179,0.718,0.28,0.727,114.715,179280
"45","Murphy Lee","Shake Ya Tailfeather - Radio","dislike",0.715,0.733,"1",-7.068,"1",0.262,0.134,0,0.157,0.897,87.665,295173
"46","Timbaland","Bounce","dislike",0.646,0.775,"8",-3.695,"1",0.178,0.586,0.000342,0.156,0.516,132.43,244307
"47","Shakira","Chantaje","dislike",0.859,0.756,"8",-3.36,"0",0.0643,0.168,4.65e-05,0.163,0.91,102.033,195613
"48","50 Cent","Just A Lil Bit","dislike",0.704,0.683,"1",-6.617,"1",0.328,0.0326,0.00627,0.336,0.526,96.912,237707
"49","Timbaland","Give It To Me","dislike",0.978,0.687,"8",-4.957,"1",0.0646,0.197,0.00708,0.107,0.784,110.616,234057
"50","Madonna","4 Minutes (feat. Justin Timberlake & Timbaland)","dislike",0.753,0.931,"2",-4.922,"1",0.0652,0.00994,0.00696,0.234,0.767,113.029,189693
"51","Luis Fonsi","Despacito - Remix","dislike",0.694,0.815,"2",-4.328,"1",0.12,0.229,0,0.0924,0.813,88.931,228827
"52","Daddy Yankee","Shaky Shaky","dislike",0.899,0.626,"6",-4.228,"0",0.292,0.076,0,0.0631,0.873,88.007,234320
"53","Sean Paul","No Lie","dislike",0.741,0.891,"7",-2.824,"1",0.119,0.0437,0,0.256,0.449,102.002,221176
"54","Jason Derulo","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","dislike",0.696,0.817,"1",-3.862,"1",0.109,0.075,0,0.187,0.782,98.064,216409
"55","Mary J. Blige","Family Affair","dislike",0.914,0.551,"8",-3.879,"0",0.0455,0.133,2.61e-05,0.0841,0.967,92.889,265867
"56","Cassidy","Hotel (feat. R. Kelly)","dislike",0.68,0.659,"0",-6.855,"1",0.211,0.118,0,0.107,0.411,91.259,247040
"57","Million Stylez","Miss Fatty","dislike",0.643,0.507,"2",-7.101,"1",0.544,0.056,0,0.157,0.897,163.993,237733
"58","DMX","Party Up","dislike",0.51,0.931,"11",-3.302,"1",0.347,0.0738,0,0.5,0.53,201.936,268867
"59","Ja Rule","Clap Back","dislike",0.64,0.786,"1",-5.596,"0",0.35,0.0415,1.19e-05,0.0527,0.699,96.675,296467
"60","Justin Timberlake","Señorita","dislike",0.841,0.634,"1",-5.397,"1",0.0458,0.0713,0,0.0703,0.886,97.954,294867
"61","Justin Timberlake","My Love","dislike",0.771,0.676,"4",-6.018,"0",0.223,0.285,4.49e-06,0.546,0.804,119.997,276160
"62","DMX","Get It On The Floor","dislike",0.817,0.802,"1",-3.058,"1",0.138,0.163,0,0.116,0.58,94.211,262133
"63","INNA","Gimme Gimme - Original Mix","dislike",0.876,0.7,"9",-6.231,"1",0.254,0.479,9.6e-06,0.0546,0.622,109.971,177308
"64","DJ Khaled","Wild Thoughts","dislike",0.613,0.681,"8",-3.089,"1",0.0778,0.0287,0,0.126,0.619,97.621,204664
"65","J Balvin","Mi Gente","dislike",0.543,0.677,"11",-4.915,"0",0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440
"66","Fatman Scoop","Be Faithful","dislike",0.665,0.719,"7",-6.6,"1",0.279,0.000947,0,0.327,0.62,101.081,165307
"67","50 Cent","Disco Inferno","dislike",0.925,0.659,"3",-4.763,"1",0.231,0.206,7.88e-05,0.279,0.71,97.018,214227
"68","Justin Timberlake","Rock Your Body","dislike",0.899,0.724,"4",-6.091,"0",0.138,0.168,0.00029,0.051,0.84,100.979,267267
"69","Timbaland","Morning After Dark (Featuring Nelly Furtado & SoShy)","dislike",0.734,0.927,"8",-4.244,"0",0.042,0.076,0.00134,0.0465,0.901,118.039,231960
"70","The Black Eyed Peas","Let's Get It Started - Spike Mix","dislike",0.783,0.794,"11",-2.231,"0",0.12,0.105,0,0.304,0.803,104.953,217733
"71","Sean Paul","I'm Still in Love with You","dislike",0.765,0.666,"7",-5.384,"1",0.172,0.102,0,0.116,0.756,87.002,273360
"72","Sean Paul","I'm Still in Love with You","dislike",0.765,0.666,"7",-5.384,"1",0.172,0.102,0,0.116,0.756,87.002,273360
"73","Timbaland","Carry Out (Featuring Justin Timberlake)","dislike",0.531,0.574,"10",-6.693,"0",0.113,0.114,0.0308,0.256,0.272,115.68,232467
"74","Makaveli","Me And My Girlfriend","dislike",0.828,0.892,"4",-4.567,"0",0.193,0.115,0,0.217,0.712,85.95,308267
"75","A$AP Rocky","Everyday","dislike",0.394,0.661,"4",-8.684,"1",0.193,0.0101,0,0.343,0.335,149.822,260987
"76","Fat Joe","What's Luv? (feat. Ja-Rule & Ashanti)","dislike",0.835,0.707,"8",-5.074,"1",0.0598,0.0219,2.19e-05,0.108,0.919,93.955,267093
"77","Lil Wayne","Lollipop","dislike",0.829,0.428,"0",-9.469,"1",0.083,0.055,0.00423,0.137,0.448,148.077,299333
"78","Dua Lipa","New Rules","dislike",0.762,0.7,"9",-6.021,"0",0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320
"79","RedOne","Boom Boom","dislike",0.749,0.759,"7",-8.065,"0",0.0451,0.00453,0,0.202,0.584,110.004,248364
"80","Sean Paul","Like Glue","dislike",0.757,0.78,"1",-5.038,"1",0.319,0.0811,0,0.113,0.59,97.917,232507
"81","Sean Paul","Body","dislike",0.494,0.795,"4",-3.495,"0",0.326,0.347,0,0.0926,0.441,67.262,206060
"82","Christina Aguilera","Can't Hold Us Down","dislike",0.855,0.652,"8",-4.49,"1",0.178,0.0294,0.00104,0.0666,0.561,98.995,255267
"83","Shakira","La Tortura (feat. Alejandro Sanz)","dislike",0.74,0.783,"0",-5.367,"1",0.0427,0.0297,0.000308,0.123,0.812,100.011,212893
"84","Shakira","Rabiosa","dislike",0.834,0.823,"0",-4.918,"1",0.114,0.062,0,0.185,0.763,133.039,170600
"85","Shakira","Hips Don't Lie","dislike",0.778,0.824,"10",-5.892,"0",0.0712,0.284,0,0.405,0.756,100.024,218093
"86","MC Fioti","Bum Bum Tam Tam","dislike",0.898,0.699,"1",-3.781,"1",0.112,0.336,8.61e-06,0.232,0.64,131.99,213989
"87","MC Fioti","Bum Bum Tam Tam","dislike",0.957,0.667,"10",-5.353,"0",0.0856,0.826,0.0205,0.179,0.556,132.01,155550
"88","Rupee","Tempted To Touch","dislike",0.833,0.838,"2",-6.722,"0",0.0494,0.174,0,0.112,0.96,105.978,207547
"89","Kevin Lyttle","Turn Me On","dislike",0.677,0.682,"9",-6.879,"1",0.0361,0.0405,0,0.0351,0.875,106.279,192107
"90","Notch","Nuttin Nuh Go So","dislike",0.751,0.837,"1",-3.892,"1",0.108,0.183,0,0.217,0.752,98.016,242560
"91","Sean Paul","Gimme the Light","dislike",0.778,0.761,"2",-5.529,"1",0.0525,0.141,4.61e-05,0.0441,0.923,107.288,228000
"92","50 Cent","Patiently Waiting","dislike",0.738,0.674,"1",-2.299,"1",0.28,0.275,0,0.344,0.575,78.929,288867
"93","B2K","Badaboom","dislike",0.812,0.626,"4",-5.025,"0",0.149,0.0238,0.000699,0.149,0.811,96.006,221067
"94","Sean Paul","Give It up to Me","dislike",0.855,0.674,"7",-4.328,"1",0.314,0.165,0,0.0548,0.578,95.991,242253
"95","Nelly Furtado","Maneater","dislike",0.796,0.777,"6",-4.81,"1",0.0397,0.0261,0.000358,0.121,0.787,132.722,258893
"96","Maroon 5","This Love","dislike",0.714,0.868,"5",-4.596,"0",0.0363,0.0551,0,0.0987,0.78,95.05,206200
"97","Sean Paul","Mad Love","dislike",0.815,0.817,"2",-3.457,"1",0.209,0.00575,4.67e-06,0.171,0.625,98.023,199945
"98","J Balvin","Safari","dislike",0.508,0.687,"0",-4.361,"1",0.326,0.551,3.41e-06,0.126,0.555,180.044,205600
"99","Christina Aguilera","Dirrty","dislike",0.666,0.891,"11",-3.463,"0",0.249,0.114,0,0.29,0.53,99.92,285960
"100","Cardi B","I Like It","dislike",0.816,0.726,"5",-3.998,"0",0.129,0.099,0,0.372,0.65,136.048,253390
"101","DJ Snake","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","dislike",0.841,0.798,"1",-4.206,"0",0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500
"102","Sido","Schlechtes Vorbild","dislike",0.942,0.598,"5",-7.673,"1",0.11,0.172,4.63e-06,0.201,0.96,96.993,204213
"103","Kool Savas","Rhythmus meines Lebens","dislike",0.708,0.582,"5",-6.545,"0",0.273,0.00407,1.79e-05,0.258,0.656,81.966,196947
"104","Die Firma","Die Eine 2005","dislike",0.698,0.566,"11",-6.373,"0",0.252,0.0432,0,0.0602,0.521,94.807,206560
"105","Bushido","Leben und Tod des Kenneth Glöckler","dislike",0.566,0.705,"1",-4.812,"1",0.311,0.0938,0,0.0787,0.551,173.998,601000
"106","Haftbefehl","Chabos wissen wer der Babo ist","dislike",0.72,0.977,"4",-5.078,"0",0.254,0.166,0,0.103,0.74,169.997,139909
"107","Sido","Augen auf","dislike",0.887,0.529,"8",-6.421,"1",0.187,0.0857,0,0.215,0.792,80,230907
"108","Bonez MC","Ohne mein Team","dislike",0.766,0.8,"1",-6.062,"0",0.0938,0.16,1.6e-05,0.0744,0.635,129.999,188504
"109","Bonez MC","Ohne mein Team","dislike",0.766,0.8,"1",-6.062,"0",0.0938,0.16,1.6e-05,0.0744,0.635,129.999,188504
"110","Peter Fox","Alles neu","dislike",0.811,0.816,"8",-4.887,"1",0.129,0.186,0,0.629,0.313,133.876,260093
"111","Bushido","Für immer jung","dislike",0.452,0.826,"6",-5.357,"0",0.297,0.273,0,0.148,0.561,85.694,269787
"112","Fettes Brot","Jein","dislike",0.749,0.886,"1",-4.887,"1",0.122,0.0442,6.02e-05,0.118,0.479,99.523,354133
"113","Sido","Mein Block (Beathoavenz Video Rmx)","dislike",0.611,0.685,"0",-4.779,"1",0.467,0.148,0,0.12,0.944,96.801,300973
"114","Samy Deluxe","Weck mich auf","dislike",0.817,0.645,"2",-6.825,"1",0.249,0.282,0,0.06,0.623,95.015,343227
"115","Peter Fox","Schwarz zu blau","dislike",0.637,0.604,"8",-5.197,"1",0.329,0.0194,0,0.108,0.238,162.088,215800
"116","Bushido","Wenn wir kommen","dislike",0.576,0.803,"8",-5.717,"1",0.427,0.158,0,0.18,0.752,92.224,232280
"117","Fettes Brot","An Tagen wie diesen","dislike",0.664,0.921,"9",-3.803,"0",0.104,0.0251,0,0.175,0.766,158.381,241667
"118","K.I.Z","Ein Affe und ein Pferd","dislike",0.761,0.791,"2",-4.679,"1",0.192,0.101,0,0.15,0.846,138.014,225693
"119","Samy Deluxe","Stumm (Xenja)","dislike",0.602,0.776,"0",-5.827,"1",0.185,0.0396,0,0.0795,0.244,98.804,200960
"120","Massive Töne","Cruisen","dislike",0.732,0.778,"2",-5.979,"1",0.182,0.0156,0,0.0851,0.623,95.013,235267
"121","Bushido","Alles wird gut","dislike",0.631,0.786,"6",-7.431,"0",0.437,0.24,0,0.337,0.522,93.428,218107
"122","DJ Tomekk","Kimnotyze","dislike",0.876,0.83,"0",-2.782,"1",0.229,0.129,0,0.0833,0.671,104.934,209627
"123","Seeed","Dickes B (feat. Black Kappa)","dislike",0.643,0.794,"7",-5.958,"1",0.417,0.133,0,0.709,0.513,97.753,284906
"124","Azad","Eines Tages","dislike",0.751,0.604,"1",-6.046,"0",0.108,0.061,0,0.308,0.262,96.966,221333
"125","Kool Savas","Das Urteil","dislike",0.566,0.835,"2",-3.974,"1",0.358,0.242,0,0.176,0.488,87.636,311813
"126","K.I.Z","Walpurgisnacht","dislike",0.788,0.709,"9",-5.324,"0",0.207,0.0376,0,0.532,0.516,119.923,301173
"127","Samy Deluxe","Bis die Sonne rauskommt","dislike",0.802,0.54,"2",-6.927,"1",0.0814,0.0332,0,0.0297,0.59,130.127,211027
"128","Bushido","Nie wieder","dislike",0.618,0.907,"0",-5.29,"1",0.252,0.121,0,0.25,0.921,98.429,232147
"129","Azad","Prison Break Anthem (Ich Glaub An Dich) - Single Version","dislike",0.749,0.867,"11",-5.695,"0",0.172,0.0188,0.00319,0.362,0.373,96.017,244027
"130","Torch","Wir waren mal Stars","dislike",0.65,0.749,"11",-6.182,"0",0.35,0.0491,0,0.125,0.887,179.968,280776
"131","K.I.Z","Hurra die Welt geht unter","dislike",0.615,0.598,"4",-4.967,"0",0.207,0.0259,0,0.136,0.653,80.293,284693
"132","Eko Fresh","Ich bin jung und brauche das Geld (feat. G-Style)","dislike",0.682,0.684,"10",-7.278,"0",0.147,0.384,0,0.105,0.718,93.311,266573
"133","Samy Deluxe","Poesie Album","dislike",0.66,0.77,"11",-9.084,"1",0.22,0.387,0.00207,0.1,0.771,149.903,230547
"134","Kool Savas","All 4 One","dislike",0.701,0.674,"11",-6.132,"0",0.292,0.0868,0,0.233,0.642,91.06,213813
"135","Sido","Hey Du!","dislike",0.719,0.727,"7",-6.822,"1",0.261,0.115,0,0.162,0.256,84.819,250680
"136","K.I.Z","Urlaub fürs Gehirn","dislike",0.614,0.734,"8",-3.634,"0",0.0769,0.0752,0,0.346,0.265,139.979,241973
"137","DJ Tomekk","Ganxtaville, Pt. 3","dislike",0.82,0.697,"0",-4.825,"1",0.205,0.0246,0,0.107,0.689,97.028,213227
"138","ASD","Sneak Preview","dislike",0.47,0.926,"8",-5.34,"1",0.347,0.0459,0,0.296,0.569,100.701,226227
"139","Fettes Brot","Da Draussen","dislike",0.865,0.792,"1",-5.224,"1",0.325,0.0543,0,0.0569,0.808,92.018,322133
"140","Afrob","Reimemonster (feat. Ferris MC)","dislike",0.7,0.8,"4",-8.102,"0",0.259,0.0408,0,0.535,0.893,92.936,216693
"141","Samy Deluxe","Let's Go","dislike",0.856,0.95,"6",-3.014,"0",0.163,0.158,0,0.042,0.88,116.491,168000
"142","Dynamite Deluxe","Grüne Brille","dislike",0.621,0.706,"10",-7.615,"0",0.232,0.0199,0,0.464,0.696,89.935,230160
"143","Deichkind","Bon Voyage (feat. Nina)","dislike",0.903,0.735,"4",-7.976,"0",0.236,0.26,0.00056,0.097,0.921,96.41,207413
"144","Bushido","Alles verloren","dislike",0.544,0.869,"5",-5.273,"1",0.293,0.145,0,0.254,0.357,87.57,266347
"145","Massive Töne","Chartbreaker - Einmal Star Und Zurück - Original Version","dislike",0.842,0.763,"11",-6.865,"1",0.211,0.073,0,0.113,0.805,94.364,228360
"146","Samy Deluxe","...Hab' gehört...","dislike",0.77,0.79,"9",-7.514,"1",0.304,0.102,0,0.32,0.798,103.074,225173
"147","Kollegah","Sommer","dislike",0.663,0.618,"9",-8.902,"0",0.142,0.293,0,0.101,0.619,80.064,189387
"148","Fettes Brot","Schwule Mädchen","dislike",0.838,0.813,"0",-4.358,"1",0.225,0.02,0,0.0914,0.779,140.013,205293
"149","K.I.Z","Neuruppin","dislike",0.606,0.779,"0",-7.466,"1",0.0593,0.118,0,0.105,0.159,145.074,323253
"150","Curse","Widerstand","dislike",0.653,0.702,"1",-6.897,"1",0.214,0.0452,0,0.0941,0.779,81.962,251307
"151","Bushido","Schmetterling","dislike",0.639,0.677,"3",-6.361,"0",0.164,0.208,0,0.0849,0.552,93.307,232227
"152","Die Fantastischen Vier","Troy","dislike",0.809,0.785,"0",-5.773,"1",0.0995,0.0291,0.000237,0.363,0.664,124.999,269840
"153","Shirin David","Gib Ihm","dislike",0.927,0.416,"10",-10.709,"0",0.321,0.257,1.53e-05,0.0869,0.536,97.979,164293
"154","Dardan","gENAuSo","dislike",0.81,0.642,"9",-5.328,"0",0.0437,0.0865,0,0.0772,0.595,119.955,200960
"155","Shirin David","Brillis","dislike",0.836,0.467,"7",-8.727,"1",0.18,0.251,0,0.0814,0.571,106.034,186413
"156","Luciano","La Haine","dislike",0.836,0.598,"5",-6.78,"0",0.11,0.249,9.18e-05,0.172,0.587,101.987,164560
"157","Summer Cem","Summer Cem (feat. Luciano)","dislike",0.874,0.589,"2",-6.871,"1",0.079,0.179,8.49e-05,0.113,0.454,135.025,160547
"158","Shirin David","ON OFF (feat. Maître Gims)","dislike",0.644,0.435,"9",-10.295,"0",0.323,0.743,1.29e-06,0.0829,0.747,105.141,189907
"159","Murda","AYA","dislike",0.743,0.68,"5",-4.344,"0",0.103,0.113,0.123,0.183,0.694,180.059,196583
"160","RAF Camora","Adriana","dislike",0.76,0.8,"7",-5.777,"0",0.0537,0.449,0.0052,0.12,0.675,135.04,165125
"161","Olexesh","Benzin","dislike",0.603,0.721,"11",-6.079,"0",0.367,0.0808,0,0.156,0.685,99.626,217002
"162","Kurdo","Nala","dislike",0.928,0.806,"10",-4.688,"0",0.207,0.0307,0.0165,0.091,0.77,128.05,150000
"163","Gringo","Barcelona","dislike",0.783,0.858,"6",-5.18,"0",0.051,0.0352,0,0.0813,0.248,120.076,157000
"164","Butrint Imeri","Dream Girl","dislike",0.75,0.866,"7",-2.296,"1",0.0524,0.356,0,0.0873,0.471,101.979,165285
"165","Capital Bra","Nummer 1","dislike",0.851,0.588,"6",-6.292,"0",0.229,0.57,4.45e-06,0.0562,0.654,96.047,155000
"166","Payy","Mehr Bargeld (feat. Nate57 & Remoe)","dislike",0.728,0.745,"9",-6.336,"1",0.106,0.386,0,0.132,0.453,137.023,269140
"167","Trettmann","Bye Bye aka Delicious","dislike",0.781,0.611,"8",-8.867,"0",0.165,0.0199,0.000277,0.13,0.279,139.996,206587
"168","Juju","Sommer in Berlin","dislike",0.55,0.775,"11",-4.806,"0",0.112,0.472,0.000343,0.145,0.409,114.123,183224
"169","Loredana","Eiskalt","dislike",0.798,0.608,"7",-6.001,"1",0.14,0.0274,6.52e-05,0.106,0.677,180.014,151558
"170","Capital Bra","Cherry Lady","dislike",0.838,0.549,"9",-7.145,"0",0.0755,0.877,0.000964,0.115,0.654,114.445,135597
"171","Lil Lano","Fische","dislike",0.699,0.774,"7",-6.505,"0",0.0948,0.135,0,0.0916,0.464,94.998,212367
"172","Ufo361","Nummer","dislike",0.688,0.638,"11",-6.855,"0",0.134,0.223,0.000202,0.101,0.291,193.851,182214
"173","Dardan","cOcO MAmA","dislike",0.436,0.603,"2",-6.766,"0",0.234,0.151,6.33e-06,0.145,0.369,99.831,189413
"174","Veysel","Habibo","dislike",0.815,0.717,"3",-5.52,"0",0.0404,0.00991,6.25e-05,0.117,0.94,107.008,170560
"175","Kurdo","Alles Coco","dislike",0.928,0.746,"10",-4.783,"0",0.152,0.0637,0.000631,0.183,0.412,116.016,145813
"176","Eno","Blackberry Sky","dislike",0.805,0.625,"5",-8.589,"0",0.0434,0.25,0.00527,0.0954,0.647,102.996,156497
"177","Honka","Oh Shit Diggi","dislike",0.82,0.672,"6",-7.067,"1",0.105,0.0441,0,0.221,0.65,98.027,156276
"178","Apache 207","Roller","dislike",0.928,0.758,"10",-6.471,"0",0.144,0.03,0.00437,0.29,0.729,128.005,158853
"179","Fousy","Nachts um 4","dislike",0.803,0.575,"2",-6.507,"1",0.0453,0.17,8.72e-06,0.0867,0.403,100.045,151500
"180","KeKe","Malibu","dislike",0.695,0.434,"8",-7.206,"1",0.309,0.22,0.000607,0.108,0.392,197.967,177170
"181","Capo","Run Run Run","dislike",0.831,0.601,"4",-7.49,"0",0.0599,0.361,2e-05,0.0915,0.198,103.967,147692
"182","C ARMA","Yapma","dislike",0.771,0.711,"11",-5.46,"0",0.0932,0.106,1.96e-05,0.0643,0.832,167.97,169000
"183","Die Atzen","BALLERN","dislike",0.731,0.912,"11",-5.04,"1",0.0397,0.0147,4.78e-05,0.247,0.255,124.986,145893
"184","Bonez MC","500 PS","dislike",0.805,0.924,"7",-5.883,"0",0.0439,0.391,0.00448,0.0902,0.836,139.976,181971
"185","Crush","UNIKAT - Raptags 2019","dislike",0.924,0.554,"8",-8.879,"1",0.121,0.635,0,0.0944,0.882,100,137111
"186","Loredana","Jetzt rufst du an","dislike",0.661,0.473,"3",-7.285,"1",0.136,0.338,0,0.11,0.402,128.48,151888
"187","PRIN$$ Boateng","Bella Vita","dislike",0.889,0.7,"6",-7.269,"0",0.115,0.104,0.000886,0.0826,0.728,97.033,188441
"188","Der Veib","Görmedim","dislike",0.748,0.676,"0",-4.764,"0",0.0384,0.236,0,0.0651,0.923,103.094,114000
"189","Ufo361","Shot","dislike",0.721,0.786,"7",-6.637,"1",0.0703,0.0348,0.00297,0.652,0.255,105.041,224400
"190","DLG","Ghettobaby","dislike",0.782,0.632,"5",-4.409,"0",0.065,0.439,7.52e-06,0.1,0.48,100.012,201400
"191","Nimo","Shem Shem & Sex","dislike",0.793,0.805,"10",-4.898,"0",0.113,0.101,2.95e-06,0.0842,0.591,116.018,286720
"192","Moe Phoenix","3% (feat. ENO)","dislike",0.757,0.715,"9",-5.037,"0",0.175,0.0624,0,0.0965,0.63,179.967,173744
"193","Luciano","Ballin","dislike",0.863,0.678,"6",-6.683,"0",0.115,0.117,0.000142,0.142,0.472,106.96,198280
"194","Dardan","a miLLy","dislike",0.791,0.785,"1",-4.214,"0",0.0445,0.0818,1.45e-06,0.143,0.643,120.025,203000
"195","Summer Cem","Yallah Goodbye (feat. Gringo)","dislike",0.875,0.738,"7",-6.172,"1",0.175,0.0215,0.023,0.112,0.21,104.953,141587
"196","Nura","Habibi","dislike",0.779,0.624,"10",-4.993,"0",0.113,0.174,0,0.0727,0.596,96.126,156250
"197","Dardan","Facetime","dislike",0.701,0.682,"4",-6.873,"0",0.173,0.319,0,0.113,0.446,102.004,192947
